,H1,H2,H3,H4,H5,H6,H7,H8,HWavg,Q1,Q2,Proj1,Proj2,total
70,10.0,10.0,10.0,10.0,10.0,10.0,9.9,10.0,9.9875,93.84615385,100.0,92.75,93.0,90.154615385
71,10.0,10.0,9.5,9.8,9.0,9.0,9.75,10.0,9.63125,71.42857143,84.14634146,94.5,91.0,84.529808362
72,10.0,9.75,9.8,10.0,9.9,10.0,9.5,10.0,9.868749999999999,58.42105263,74.26470588,96.5,95.7,83.89181114499999
73,10.0,10.0,10.0,9.9,10.0,10.0,10.0,10.0,9.9875,84.73684211,90.44117647,89.5,92.0,86.9098606815
74,9.5,9.9,10.0,9.95,9.5,9.0,10.0,10.0,9.73125,80.0,74.3902439,96.5,96.0,85.813536585
75,10.0,9.0,10.0,10.0,9.8,10.0,10.0,10.0,9.85,88.94736842,87.5,93.8,95.0,88.169736842
76,10.0,9.5,10.0,10.0,10.0,10.0,10.0,9.8,9.9125,94.61538462,84.12,92.75,92.83,87.627038462
77,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,88.84615385,78.79,95.75,92.67,87.02061538500001
78,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,91.92307692,86.81,96.5,92.83,88.721307692
79,10.0,10.0,10.0,10.0,9.5,10.0,10.0,10.0,9.9375,81.80952381,88.41463415,94.5,91.0,86.9431475035
80,10.0,10.0,10.0,10.0,9.9,10.0,9.0,10.0,9.8625,95.0,81.75,92.88,93.33,87.341
81,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,95.38461538,100.0,95.0,93.33,90.870961538
82,10.0,10.0,10.0,10.0,9.9,10.0,10.0,10.0,9.9875,92.69230769,90.19,99.63,98.0,91.19373076900001
83,10.0,10.0,9.9,9.7,9.7,10.0,10.0,10.0,9.9125,65.57894737,75.73529412,91.0,96.3,83.983188855
84,10.0,10.0,10.0,9.9,9.8,10.0,9.5,10.0,9.9,55.78947368,79.77941176,92.8,95.3,83.690859132
85,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,100.0,83.44,98.38,92.67,89.35950000000001
86,10.0,10.0,10.0,10.0,9.9,8.0,8.5,10.0,9.55,96.07692308,54.5,88.0,88.88,80.52269230799999
87,9.5,10.0,9.0,10.0,9.5,9.0,10.0,10.0,9.625,84.28571429,87.19512195,95.0,95.0,87.3578397215
88,10.0,10.0,9.8,9.9,9.9,10.0,10.0,10.0,9.95,90.94736842,89.70588235,90.0,92.0,87.4306191945
89,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.8,9.975,90.76923077,93.6,95.5,92.33,89.239423077
90,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,91.38461538,90.04,95.75,92.33,88.876961538
91,10.0,10.0,9.9,10.0,9.9,10.0,10.0,9.8,9.95,95.0,92.12,95.75,93.0,89.598
92,10.0,10.0,10.0,9.9,9.8,10.0,10.0,10.0,9.9625,79.36842105,87.5,89.5,9.0,65.121842105
